circuit_id,circuit_elevation
albert_park,10
bahrain,1
shanghai,21
baku,2
catalunya,192
monaco,90
villeneuve,18
ricard,441
red_bull_ring,785
silverstone,208
hockenheimring,153
hungaroring,239
spa,468
monza,153
marina_bay,23
sochi,23
suzuka,94
rodriguez,2229
americas,157
interlagos,782
yas_marina,20
mugello,292
nurburgring,620
portimao,106
imola,58
istanbul,136
zandvoort,7
losail,0
jeddah,0
miami,3
sepang,36
vegas,610
