,year,LR Acc Podium,LR NDCG,NN Acc Podium,NN NDCG,NBC Acc Podium,NBC NDCG
0,2019,0.1,0.6515731097262741,0.6,0.821400019726554,0.4,0.8359562084760742
1,2020,0.1,0.6276864715959086,0.3,0.8243034108685067,0.3,0.8342901911119662
2,2021,0.2,0.6956027537773216,0.1,0.8088043687553156,0.5,0.8394110065450195
3,2022,0.5,0.8321798633565446,0.5,0.846200782893857,0.7,0.8440713972975928
4,2023,0.2,0.8843201010724598,0.2,0.8966771921690352,0.4,0.8926505785137192
