season,round,circuit_id,weather
1983,1,jacarepagua,not found
1983,2,long_beach,not found
1983,3,ricard,not found
1983,4,imola,not found
1983,5,monaco,not found
1983,6,spa,not found
1983,7,detroit,not found
1983,8,villeneuve,not found
1983,9,silverstone,not found
1983,10,hockenheimring,not found
1983,11,red_bull_ring,not found
1983,12,zandvoort,not found
1983,13,monza,not found
1983,14,brands_hatch,not found
1983,15,kyalami,not found
1984,1,jacarepagua,not found
1984,2,kyalami,not found
1984,3,zolder,not found
1984,4,imola,not found
1984,5,dijon,not found
1984,6,monaco,not found
1984,7,villeneuve,not found
1984,8,detroit,not found
1984,9,dallas,not found
1984,10,brands_hatch,not found
1984,11,hockenheimring,not found
1984,12,red_bull_ring,not found
1984,13,zandvoort,not found
1984,14,monza,not found
1984,15,nurburgring,not found
1984,16,estoril,not found
1985,1,jacarepagua,not found
1985,2,estoril,not found
1985,3,imola,not found
1985,4,monaco,not found
1985,5,villeneuve,not found
1985,6,detroit,not found
1985,7,ricard,not found
1985,8,silverstone,not found
1985,9,nurburgring,not found
1985,10,red_bull_ring,not found
1985,11,zandvoort,not found
1985,12,monza,not found
1985,13,spa,not found
1985,14,brands_hatch,not found
1985,15,kyalami,not found
1985,16,adelaide,not found
1986,1,jacarepagua,not found
1986,2,jerez,not found
1986,3,imola,not found
1986,4,monaco,not found
1986,5,spa,not found
1986,6,villeneuve,not found
1986,7,detroit,not found
1986,8,ricard,not found
1986,9,brands_hatch,not found
1986,10,hockenheimring,not found
1986,11,hungaroring,not found
1986,12,red_bull_ring,not found
1986,13,monza,not found
1986,14,estoril,not found
1986,15,rodriguez,not found
1986,16,adelaide,not found
1987,1,jacarepagua,not found
1987,2,imola,not found
1987,3,spa,not found
1987,4,monaco,not found
1987,5,detroit,not found
1987,6,ricard,not found
1987,7,silverstone,not found
1987,8,hockenheimring,not found
1987,9,hungaroring,not found
1987,10,red_bull_ring,not found
1987,11,monza,not found
1987,12,estoril,not found
1987,13,jerez,not found
1987,14,rodriguez,not found
1987,15,suzuka,not found
1987,16,adelaide,not found
1988,1,jacarepagua,not found
1988,2,imola,not found
1988,3,monaco,not found
1988,4,rodriguez,not found
1988,5,villeneuve,not found
1988,6,detroit,not found
1988,7,ricard,not found
1988,8,silverstone,not found
1988,9,hockenheimring,not found
1988,10,hungaroring,not found
1988,11,spa,not found
1988,12,monza,not found
1988,13,estoril,not found
1988,14,jerez,not found
1988,15,suzuka,not found
1988,16,adelaide,not found
1989,1,jacarepagua,not found
1989,2,imola,not found
1989,3,monaco,not found
1989,4,rodriguez,not found
1989,5,phoenix,not found
1989,6,villeneuve,not found
1989,7,ricard,not found
1989,8,silverstone,not found
1989,9,hockenheimring,not found
1989,10,hungaroring,not found
1989,11,spa,not found
1989,12,monza,not found
1989,13,estoril,not found
1989,14,jerez,not found
1989,15,suzuka,not found
1989,16,adelaide,not found
1990,1,phoenix,not found
1990,2,interlagos,not found
1990,3,imola,not found
1990,4,monaco,not found
1990,5,villeneuve,not found
1990,6,rodriguez,not found
1990,7,ricard,not found
1990,8,silverstone,not found
1990,9,hockenheimring,not found
1990,10,hungaroring,not found
1990,11,spa,not found
1990,12,monza,not found
1990,13,estoril,not found
1990,14,jerez,not found
1990,15,suzuka,not found
1990,16,adelaide,not found
1991,1,phoenix,not found
1991,2,interlagos,not found
1991,3,imola,not found
1991,4,monaco,not found
1991,5,villeneuve,not found
1991,6,rodriguez,not found
1991,7,magny_cours,not found
1991,8,silverstone,not found
1991,9,hockenheimring,not found
1991,10,hungaroring,not found
1991,11,spa,not found
1991,12,monza,not found
1991,13,estoril,not found
1991,14,catalunya,not found
1991,15,suzuka,not found
1991,16,adelaide,not found
1992,1,kyalami,not found
1992,2,rodriguez,not found
1992,3,interlagos,not found
1992,4,catalunya,not found
1992,5,imola,not found
1992,6,monaco,not found
1992,7,villeneuve,not found
1992,8,magny_cours,not found
1992,9,silverstone,not found
1992,10,hockenheimring,not found
1992,11,hungaroring,not found
1992,12,spa,not found
1992,13,monza,not found
1992,14,estoril,not found
1992,15,suzuka,not found
1992,16,adelaide,not found
1993,1,kyalami,not found
1993,2,interlagos,not found
1993,3,donington,not found
1993,4,imola,not found
1993,5,catalunya,not found
1993,6,monaco,not found
1993,7,villeneuve,not found
1993,8,magny_cours,not found
1993,9,silverstone,not found
1993,10,hockenheimring,not found
1993,11,hungaroring,not found
1993,12,spa,not found
1993,13,monza,not found
1993,14,estoril,not found
1993,15,suzuka,not found
1993,16,adelaide,not found
1994,1,interlagos,not found
1994,2,okayama,not found
1994,3,imola,not found
1994,4,monaco,not found
1994,5,catalunya,not found
1994,6,villeneuve,not found
1994,7,magny_cours,not found
1994,8,silverstone,not found
1994,9,hockenheimring,not found
1994,10,hungaroring,not found
1994,11,spa,not found
1994,12,monza,not found
1994,13,estoril,not found
1994,14,jerez,not found
1994,15,suzuka,not found
1994,16,adelaide,not found
1995,1,interlagos,not found
1995,2,galvez,not found
1995,3,imola,not found
1995,4,catalunya,not found
1995,5,monaco,not found
1995,6,villeneuve,not found
1995,7,magny_cours,not found
1995,8,silverstone,not found
1995,9,hockenheimring,not found
1995,10,hungaroring,not found
1995,11,spa,not found
1995,12,monza,not found
1995,13,estoril,not found
1995,14,nurburgring,not found
1995,15,okayama,not found
1995,16,suzuka,not found
1995,17,adelaide,not found
1996,1,albert_park,not found
1996,2,interlagos,not found
1996,3,galvez,not found
1996,4,nurburgring,not found
1996,5,imola,not found
1996,6,monaco,not found
1996,7,catalunya,not found
1996,8,villeneuve,not found
1996,9,magny_cours,not found
1996,10,silverstone,not found
1996,11,hockenheimring,not found
1996,12,hungaroring,not found
1996,13,spa,not found
1996,14,monza,not found
1996,15,estoril,not found
1996,16,suzuka,not found
1997,1,albert_park,not found
1997,2,interlagos,not found
1997,3,galvez,not found
1997,4,imola,not found
1997,5,monaco,not found
1997,6,catalunya,not found
1997,7,villeneuve,not found
1997,8,magny_cours,not found
1997,9,silverstone,not found
1997,10,hockenheimring,not found
1997,11,hungaroring,not found
1997,12,spa,not found
1997,13,monza,not found
1997,14,red_bull_ring,not found
1997,15,nurburgring,not found
1997,16,suzuka,not found
1997,17,jerez,not found
1998,1,albert_park,not found
1998,2,interlagos,not found
1998,3,galvez,not found
1998,4,imola,not found
1998,5,catalunya,not found
1998,6,monaco,not found
1998,7,villeneuve,not found
1998,8,magny_cours,not found
1998,9,silverstone,not found
1998,10,red_bull_ring,not found
1998,11,hockenheimring,not found
1998,12,hungaroring,not found
1998,13,spa,not found
1998,14,monza,not found
1998,15,nurburgring,not found
1998,16,suzuka,not found
1999,1,albert_park,not found
1999,2,interlagos,not found
1999,3,imola,not found
1999,4,monaco,not found
1999,5,catalunya,not found
1999,6,villeneuve,not found
