season,round,event_link
2019,2,https://www.autosport.com/f1/results/2019/bahrain-gp-488047/
2019,3,https://www.autosport.com/f1/results/2019/chinese-gp-488046/
2019,4,https://www.autosport.com/f1/results/2019/azerbaijan-gp-488045/
2019,5,https://www.autosport.com/f1/results/2019/spanish-gp-488044/
2019,6,https://www.autosport.com/f1/results/2019/monaco-gp-488043/
2019,7,https://www.autosport.com/f1/results/2019/canadian-gp-488040/
2019,8,https://www.autosport.com/f1/results/2019/french-gp-488039/
2019,9,https://www.autosport.com/f1/results/2019/austrian-gp-488038/
2019,10,https://www.autosport.com/f1/results/2019/british-gp-488037/
2019,11,https://www.autosport.com/f1/results/2019/german-gp-488036/
2019,12,https://www.autosport.com/f1/results/2019/hungarian-gp-488035/
2019,13,https://www.autosport.com/f1/results/2019/belgian-gp-488034/
2019,14,https://www.autosport.com/f1/results/2019/italian-gp-488033/
2019,15,https://www.autosport.com/f1/results/2019/singapore-gp/
2019,16,https://www.autosport.com/f1/results/2019/russian-gp-/
2019,17,https://www.autosport.com/f1/results/2019/japanese-gp/
2019,18,https://www.autosport.com/f1/results/2019/mexican-gp/
2019,19,https://www.autosport.com/f1/results/2019/united-states-gp/
2019,20,https://www.autosport.com/f1/results/2019/brazilian-gp/
2019,21,https://www.autosport.com/f1/results/2019/abu-dhabi-gp/
2020,1,https://www.autosport.com/f1/results/2020/austrian-gp-/
2020,2,https://www.autosport.com/f1/results/2020/styrian-gp/
2020,3,https://www.autosport.com/f1/results/2020/hungarian-gp-/
2020,4,https://www.autosport.com/f1/results/2020/british-gp-/
2020,5,https://www.autosport.com/f1/results/2020/70th-anniversary-gp/
2020,6,https://www.autosport.com/f1/results/2020/spanish-gp-/
2020,7,https://www.autosport.com/f1/results/2020/belgian-gp-/
2020,8,https://www.autosport.com/f1/results/2020/italian-gp-/
2020,9,https://www.autosport.com/f1/results/2020/tuscany-gp/
2020,10,https://www.autosport.com/f1/results/2020/russian-gp/
2020,11,https://www.autosport.com/f1/results/2020/eifel-gp/
2020,12,https://www.autosport.com/f1/results/2020/portuguese-gp/
2020,13,https://www.autosport.com/f1/results/2020/emilia-romagna-gp/
2020,14,https://www.autosport.com/f1/results/2020/turkish-gp/
2020,15,https://www.autosport.com/f1/results/2020/bahrain-gp/
2020,16,https://www.autosport.com/f1/results/2020/sakhir-gp/
2020,17,https://www.autosport.com/f1/results/2020/abu-dhabi-gp-451764/
2021,1,https://www.autosport.com/f1/results/2021/bahrain-gp-483475/
2021,2,https://www.autosport.com/f1/results/2021/emilia-romagna-gp-491207/
2021,3,https://www.autosport.com/f1/results/2021/portuguese-gp-527724/
2021,4,https://www.autosport.com/f1/results/2021/spanish-gp-483481/
2021,5,https://www.autosport.com/f1/results/2021/monaco-gp-483492/
2021,6,https://www.autosport.com/f1/results/2021/azerbaijan-gp/
2021,7,https://www.autosport.com/f1/results/2021/french-gp-483502/
2021,8,https://www.autosport.com/f1/results/2021/styrian-gp-533064/
2021,9,https://www.autosport.com/f1/results/2021/austrian-gp-483505/
2021,10,https://www.autosport.com/f1/results/2021/british-gp-483508/
2021,11,https://www.autosport.com/f1/results/2021/hungarian-gp-483511/
2021,12,https://www.autosport.com/f1/results/2021/belgian-gp-483515/
2021,13,https://www.autosport.com/f1/results/2021/dutch-gp-483518/
2021,14,https://www.autosport.com/f1/results/2021/italian-gp-515714/
2021,15,https://www.autosport.com/f1/results/2021/russian-gp--532107/
2021,16,https://www.autosport.com/f1/results/2021/turkish-gp-532478/
2021,17,https://www.autosport.com/f1/results/2021/united-states-gp-/
2021,18,https://www.autosport.com/f1/results/2021/mexican-gp-483539/
2021,19,https://www.autosport.com/f1/results/2021/brazilian-gp-483553/
2021,20,https://www.autosport.com/f1/results/2021/qatar-gp-538214/
2021,21,https://www.autosport.com/f1/results/2021/saudi-arabia-gp-/
2021,22,https://www.autosport.com/f1/results/2021/abu-dhabi-gp-483561/
2022,1,https://www.autosport.com/f1/results/2022/bahrain-gp-539081/
2022,2,https://www.autosport.com/f1/results/2022/saudi-arabian-gp/
2022,3,https://www.autosport.com/f1/results/2022/australian-gp-539083/
2022,4,https://www.autosport.com/f1/results/2022/emilia-romagna-gp-539084/
2022,5,https://www.autosport.com/f1/results/2022/miami-gp/
2022,6,https://www.autosport.com/f1/results/2022/spanish-gp-539086/
2022,7,https://www.autosport.com/f1/results/2022/monaco-gp-539087/
2022,8,https://www.autosport.com/f1/results/2022/azerbaijan-gp-539088/
2022,9,https://www.autosport.com/f1/results/2022/canadian-gp-539089/
