season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2020,3,hungaroring,2020-07-19,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix,gasly,1996-02-07,French,alphatauri,10,20,6.0,0.0,9.0,7.0,0.0,7.0,
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,1,63.0,2.0,1.0,121.0,3.0,1.0,1:24.303
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,3,2,33.0,0.0,3.0,55.0,0.0,2.0,1:25.325
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,4,3,18.0,0.0,7.0,27.0,0.0,5.0,1:25.427
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,ricciardo,1989-07-01,Australian,renault,8,4,8.0,0.0,11.0,12.0,0.0,6.0,1:26.009
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,norris,1999-11-13,British,mclaren,5,5,26.0,0.0,4.0,41.0,0.0,3.0,1:25.782
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,ocon,1996-09-17,French,renault,9,6,4.0,0.0,13.0,12.0,0.0,6.0,1:26.209
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,gasly,1996-02-07,French,alphatauri,11,7,6.0,0.0,12.0,7.0,0.0,7.0,1:26.501
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,albon,1996-03-23,Thai,red_bull,12,8,22.0,0.0,5.0,55.0,0.0,2.0,1:26.545
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,6,9,18.0,0.0,8.0,40.0,0.0,4.0,1:25.839
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,vettel,1987-07-03,German,ferrari,10,10,9.0,0.0,10.0,27.0,0.0,5.0,1:26.339
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,11,58.0,1.0,2.0,121.0,3.0,1.0,1:24.616
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,russell,1998-02-15,British,williams,20,12,0.0,0.0,20.0,0.0,0.0,10.0,1:27.092
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,7,13,15.0,0.0,9.0,41.0,0.0,3.0,1:25.965
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,15,14,2.0,0.0,14.0,2.0,0.0,8.0,1:27.164
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,latifi,1995-06-29,Canadian,williams,18,15,0.0,0.0,18.0,0.0,0.0,10.0,1:27.705
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,grosjean,1986-04-17,French,haas,17,16,0.0,0.0,19.0,1.0,0.0,9.0,1:27.643
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,16,17,0.0,0.0,17.0,2.0,0.0,8.0,1:27.366
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,19,18,1.0,0.0,15.0,7.0,0.0,7.0,1:26.744
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,14,19,1.0,0.0,16.0,1.0,0.0,9.0,1:27.158
2020,4,silverstone,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix,hulkenberg,1987-08-19,German,racing_point,13,20,0.0,0.0,0.0,40.0,0.0,4.0,1:26.566
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,4,1,52.0,0.0,3.0,78.0,0.0,2.0,1:26.176
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,2,88.0,3.0,1.0,146.0,4.0,1.0,1:25.217
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,1,3,58.0,1.0,2.0,146.0,4.0,1.0,1:25.154
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,8,4,33.0,0.0,5.0,43.0,0.0,4.0,1:26.614
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,albon,1996-03-23,Thai,red_bull,9,5,26.0,0.0,6.0,78.0,0.0,2.0,1:26.669
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,6,6,20.0,0.0,8.0,42.0,0.0,5.0,1:26.428
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,hulkenberg,1987-08-19,German,racing_point,3,7,0.0,0.0,21.0,42.0,0.0,5.0,1:26.082
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,ocon,1996-09-17,French,renault,14,8,12.0,0.0,11.0,32.0,0.0,6.0,1:27.011
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,norris,1999-11-13,British,mclaren,10,9,36.0,0.0,4.0,51.0,0.0,3.0,1:26.778
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,16,10,1.0,0.0,15.0,13.0,0.0,7.0,1:27.882
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,gasly,1996-02-07,French,alphatauri,7,11,12.0,0.0,12.0,13.0,0.0,7.0,1:26.534
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,vettel,1987-07-03,German,ferrari,11,12,10.0,0.0,13.0,43.0,0.0,4.0,1:27.078
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,12,13,15.0,0.0,10.0,51.0,0.0,3.0,1:27.083
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,ricciardo,1989-07-01,Australian,renault,5,14,20.0,0.0,9.0,32.0,0.0,6.0,1:26.297
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,20,15,0.0,0.0,18.0,2.0,0.0,8.0,1:28.493
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,grosjean,1986-04-17,French,haas,13,16,0.0,0.0,20.0,1.0,0.0,9.0,1:27.254
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,19,17,2.0,0.0,14.0,2.0,0.0,8.0,1:28.433
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,russell,1998-02-15,British,williams,15,18,0.0,0.0,19.0,0.0,0.0,10.0,1:27.455
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,latifi,1995-06-29,Canadian,williams,18,19,0.0,0.0,17.0,0.0,0.0,10.0,1:28.430
2020,5,silverstone,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,17,20,1.0,0.0,16.0,1.0,0.0,9.0,1:28.236
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,1,107.0,3.0,1.0,180.0,4.0,1.0,1:15.584
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,3,2,77.0,1.0,2.0,113.0,1.0,2.0,1:16.292
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,3,73.0,1.0,3.0,180.0,4.0,1.0,1:15.643
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,5,4,28.0,0.0,7.0,41.0,0.0,5.0,1:16.589
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,perez,1990-01-26,Mexican,racing_point,4,5,22.0,0.0,8.0,41.0,0.0,5.0,1:16.482
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,7,6,15.0,0.0,11.0,53.0,0.0,4.0,1:17.044
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,vettel,1987-07-03,German,ferrari,11,7,10.0,0.0,13.0,55.0,0.0,3.0,1:17.168
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,albon,1996-03-23,Thai,red_bull,6,8,36.0,0.0,6.0,113.0,1.0,2.0,1:17.029
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,gasly,1996-02-07,French,alphatauri,10,9,12.0,0.0,12.0,14.0,0.0,7.0,1:17.136
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,norris,1999-11-13,British,mclaren,8,10,38.0,0.0,5.0,53.0,0.0,4.0,1:17.084
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,ricciardo,1989-07-01,Australian,renault,13,11,20.0,0.0,9.0,36.0,0.0,6.0,1:17.198
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,12,12,2.0,0.0,16.0,14.0,0.0,7.0,1:17.192
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,ocon,1996-09-17,French,renault,15,13,16.0,0.0,10.0,36.0,0.0,6.0,1:17.567
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,14,14,0.0,0.0,18.0,2.0,0.0,8.0,1:17.386
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,16,15,1.0,0.0,17.0,1.0,0.0,9.0,1:17.908
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,20,16,2.0,0.0,15.0,2.0,0.0,8.0,1:18.697
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,russell,1998-02-15,British,williams,18,17,0.0,0.0,20.0,0.0,0.0,10.0,1:18.099
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,latifi,1995-06-29,Canadian,williams,19,18,0.0,0.0,19.0,0.0,0.0,10.0,1:18.532
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,grosjean,1986-04-17,French,haas,17,19,0.0,0.0,21.0,1.0,0.0,9.0,1:18.089
2020,6,catalunya,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,9,20,45.0,0.0,4.0,55.0,0.0,3.0,1:17.087
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,1,132.0,4.0,1.0,221.0,5.0,1.0,1:41.252
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,2,89.0,1.0,3.0,221.0,5.0,1.0,1:41.763
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,3,3,95.0,1.0,2.0,135.0,1.0,2.0,1:41.778
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,ricciardo,1989-07-01,Australian,renault,4,4,20.0,0.0,10.0,36.0,0.0,6.0,1:42.061
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,ocon,1996-09-17,French,renault,6,5,16.0,0.0,12.0,36.0,0.0,6.0,1:42.396
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,albon,1996-03-23,Thai,red_bull,5,6,40.0,0.0,6.0,135.0,1.0,2.0,1:42.264
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,norris,1999-11-13,British,mclaren,10,7,39.0,0.0,7.0,62.0,0.0,4.0,1:42.657
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,gasly,1996-02-07,French,alphatauri,12,8,14.0,0.0,13.0,16.0,0.0,7.0,1:42.745
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,9,9,40.0,0.0,5.0,63.0,0.0,3.0,1:42.603
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,perez,1990-01-26,Mexican,racing_point,8,10,32.0,0.0,8.0,63.0,0.0,3.0,1:42.532
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,11,11,2.0,0.0,16.0,16.0,0.0,7.0,1:42.730
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,16,12,0.0,0.0,18.0,2.0,0.0,8.0,1:43.743
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,vettel,1987-07-03,German,ferrari,14,13,16.0,0.0,11.0,61.0,0.0,5.0,1:43.261
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,13,14,45.0,0.0,4.0,61.0,0.0,5.0,1:42.996
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,grosjean,1986-04-17,French,haas,17,15,0.0,0.0,21.0,1.0,0.0,9.0,1:43.838
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,latifi,1995-06-29,Canadian,williams,19,16,0.0,0.0,19.0,0.0,0.0,10.0,1:44.138
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,20,17,1.0,0.0,17.0,1.0,0.0,9.0,1:44.314
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,18,18,2.0,0.0,15.0,2.0,0.0,8.0,1:43.950
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,russell,1998-02-15,British,williams,15,19,0.0,0.0,20.0,0.0,0.0,10.0,1:43.468
2020,7,spa,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,7,20,23.0,0.0,9.0,62.0,0.0,4.0,1:42.438
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,gasly,1996-02-07,French,alphatauri,10,1,18.0,0.0,12.0,20.0,0.0,7.0,1:20.177
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,3,2,23.0,0.0,11.0,68.0,0.0,3.0,1:19.695
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,8,3,42.0,0.0,7.0,66.0,0.0,4.0,1:20.049
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,norris,1999-11-13,British,mclaren,6,4,45.0,0.0,6.0,68.0,0.0,3.0,1:19.820
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,5,107.0,1.0,3.0,264.0,6.0,1.0,1:18.956
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,ricciardo,1989-07-01,Australian,renault,7,6,33.0,0.0,8.0,59.0,0.0,6.0,1:19.864
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,7,157.0,5.0,1.0,264.0,6.0,1.0,1:18.887
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,ocon,1996-09-17,French,renault,12,8,26.0,0.0,10.0,59.0,0.0,6.0,1:20.234
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,11,9,2.0,0.0,16.0,20.0,0.0,7.0,1:20.169
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,perez,1990-01-26,Mexican,racing_point,4,10,33.0,0.0,9.0,66.0,0.0,4.0,1:19.720
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,latifi,1995-06-29,Canadian,williams,20,11,0.0,0.0,19.0,0.0,0.0,10.0,1:21.717
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,grosjean,1986-04-17,French,haas,16,12,0.0,0.0,21.0,1.0,0.0,9.0,1:21.139
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,14,13,0.0,0.0,18.0,2.0,0.0,8.0,1:20.926
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,russell,1998-02-15,British,williams,19,14,0.0,0.0,20.0,0.0,0.0,10.0,1:21.587
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,albon,1996-03-23,Thai,red_bull,9,15,48.0,0.0,4.0,158.0,1.0,2.0,1:20.090
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,18,16,2.0,0.0,15.0,2.0,0.0,8.0,1:21.206
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,5,17,110.0,1.0,2.0,158.0,1.0,2.0,1:19.795
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,13,18,45.0,0.0,5.0,61.0,0.0,5.0,1:20.273
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,15,19,1.0,0.0,17.0,1.0,0.0,9.0,1:21.573
2020,8,monza,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix,vettel,1987-07-03,German,ferrari,17,20,16.0,0.0,13.0,61.0,0.0,5.0,1:21.151
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,1,164.0,5.0,1.0,281.0,6.0,1.0,1:15.144
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,2,2,117.0,1.0,2.0,281.0,6.0,1.0,1:15.203
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,albon,1996-03-23,Thai,red_bull,4,3,48.0,0.0,6.0,158.0,1.0,2.0,1:15.954
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,ricciardo,1989-07-01,Australian,renault,8,4,41.0,0.0,10.0,71.0,0.0,5.0,1:16.543
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,perez,1990-01-26,Mexican,racing_point,7,5,34.0,0.0,11.0,82.0,0.0,4.0,1:16.311
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,norris,1999-11-13,British,mclaren,11,6,57.0,0.0,5.0,98.0,0.0,3.0,1:16.640
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,12,7,4.0,0.0,15.0,47.0,1.0,7.0,1:16.854
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,5,8,45.0,0.0,7.0,61.0,0.0,6.0,1:16.270
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,13,9,0.0,0.0,19.0,2.0,0.0,8.0,1:16.854
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,vettel,1987-07-03,German,ferrari,14,10,16.0,0.0,13.0,61.0,0.0,6.0,1:16.858
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,russell,1998-02-15,British,williams,18,11,0.0,0.0,21.0,0.0,0.0,10.0,1:17.232
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,grosjean,1986-04-17,French,haas,15,12,0.0,0.0,20.0,1.0,0.0,9.0,1:17.254
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,6,13,57.0,0.0,4.0,82.0,0.0,4.0,1:16.356
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,ocon,1996-09-17,French,renault,10,14,30.0,0.0,12.0,71.0,0.0,5.0,
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,latifi,1995-06-29,Canadian,williams,19,15,0.0,0.0,18.0,0.0,0.0,10.0,1:17.320
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,20,16,1.0,0.0,17.0,1.0,0.0,9.0,1:17.348
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,17,17,2.0,0.0,16.0,2.0,0.0,8.0,1:17.220
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,9,18,41.0,0.0,9.0,98.0,0.0,3.0,1:17.870
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,3,19,110.0,1.0,3.0,158.0,1.0,2.0,1:15.509
2020,9,mugello,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix,gasly,1996-02-07,French,alphatauri,16,20,43.0,1.0,8.0,47.0,1.0,7.0,1:17.125
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,3,1,135.0,1.0,2.0,325.0,7.0,1.0,1:31.956
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,2,2,110.0,1.0,3.0,173.0,1.0,2.0,1:31.867
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,hamilton,1985-01-07,British,mercedes,1,3,190.0,6.0,1.0,325.0,7.0,1.0,1:31.304
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,perez,1990-01-26,Mexican,racing_point,4,4,44.0,0.0,9.0,92.0,0.0,4.0,1:32.317
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,ricciardo,1989-07-01,Australian,renault,5,5,53.0,0.0,7.0,83.0,0.0,5.0,1:32.364
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,10,6,49.0,0.0,8.0,66.0,0.0,6.0,1:33.239
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,ocon,1996-09-17,French,renault,7,7,30.0,0.0,12.0,83.0,0.0,5.0,1:32.624
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,kvyat,1994-04-26,Russian,alphatauri,11,8,10.0,0.0,14.0,53.0,1.0,7.0,1:33.249
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,gasly,1996-02-07,French,alphatauri,9,9,43.0,1.0,10.0,53.0,1.0,7.0,1:33.000
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,albon,1996-03-23,Thai,red_bull,15,10,63.0,0.0,5.0,173.0,1.0,2.0,1:33.008
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,17,11,2.0,0.0,17.0,4.0,0.0,8.0,1:34.594
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,18,12,1.0,0.0,18.0,1.0,0.0,9.0,1:34.681
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,vettel,1987-07-03,German,ferrari,14,13,17.0,0.0,13.0,66.0,0.0,6.0,1:33.609
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,19,14,2.0,0.0,16.0,4.0,0.0,8.0,1:35.267
2020,10,sochi,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix,norris,1999-11-13,British,mclaren,8,15,65.0,0.0,4.0,106.0,0.0,3.0,1:32.847
