driver_name,fp_pos_1,fp_time_1,season,round,fp_pos_2,fp_time_2,fp_pos_3,fp_time_3,fl_pos,fl_time,initial_tyre,num_o_ps,qualifying_position,qualifying_time,sprint_position,sprint_laps,sprint_time,has_sprint,qualifying_sprint_position,qualifying_sprint_time,sprint_fl_pos,sprint_fl_time
nico rosberg,1.0,89557.0,2015,1,1.0,87697.0,3.0,88821.0,2.0,91092.0,S,2.0,2.0,86921.0,,,,,,,,
lewis hamilton,2.0,89586.0,2015,1,2.0,87797.0,1.0,87867.0,1.0,90945.0,S,2.0,1.0,86327.0,,,,,,,,
valtteri bottas,3.0,90748.0,2015,1,5.0,89265.0,4.0,88912.0,,,nan,,,,,,,,,,,
carlos sainz,4.0,91014.0,2015,1,7.0,90071.0,9.0,89869.0,11.0,92872.0,S,2.0,7.0,88510.0,,,,,,,,
sebastian vettel,5.0,91029.0,2015,1,3.0,88412.0,2.0,88563.0,4.0,91457.0,S,2.0,4.0,87757.0,,,,,,,,
max verstappen,6.0,91067.0,2015,1,14.0,91395.0,11.0,89952.0,13.0,94295.0,M,2.0,11.0,88868.0,,,,,,,,
felipe massa,7.0,91188.0,2015,1,,,5.0,88988.0,6.0,91719.0,S,2.0,3.0,87718.0,,,,,,,,
kimi raikkonen,8.0,91310.0,2015,1,4.0,88842.0,6.0,89017.0,3.0,91426.0,S,4.0,5.0,87790.0,,,,,,,,
pastor maldonado,9.0,91451.0,2015,1,8.0,90104.0,8.0,89864.0,,,S,,9.0,89480.0,,,,,,,,
daniel ricciardo,10.0,91570.0,2015,1,,,15.0,91185.0,10.0,92797.0,S,2.0,6.0,88329.0,,,,,,,,
daniil kvyat,11.0,92073.0,2015,1,6.0,90016.0,18.0,92830.0,,,nan,,12.0,89070.0,,,,,,,,
sergio perez,12.0,92247.0,2015,1,12.0,90980.0,14.0,90993.0,7.0,91959.0,M,2.0,14.0,89209.0,,,,,,,,
nico hulkenberg,13.0,92261.0,2015,1,10.0,90473.0,13.0,90741.0,8.0,91970.0,S,4.0,13.0,89208.0,,,,,,,,
jenson button,14.0,94542.0,2015,1,13.0,91387.0,17.0,91666.0,12.0,93338.0,S,2.0,16.0,91422.0,,,,,,,,
kevin magnussen,15.0,94785.0,2015,1,16.0,93289.0,16.0,91391.0,,,nan,,17.0,92037.0,,,,,,,,
romain grosjean,16.0,137782.0,2015,1,9.0,90205.0,7.0,89481.0,,,S,,8.0,88560.0,,,,,,,,
felipe nasr,,,2015,1,11.0,90755.0,10.0,89934.0,9.0,92612.0,S,2.0,10.0,88800.0,,,,,,,,
marcus ericsson,,,2015,1,15.0,92303.0,12.0,90613.0,5.0,91560.0,M,6.0,15.0,91376.0,,,,,,,,
will stevens,,,2015,1,,,,,,,nan,,,,,,,,,,,
roberto merhi,,,2015,1,,,,,,,nan,,,,,,,,,,,
nico rosberg,1.0,100124.0,2015,2,3.0,100218.0,1.0,99690.0,1.0,102062.0,M,3.0,3.0,110299.0,,,,,,,,
kimi raikkonen,2.0,100497.0,2015,2,2.0,100163.0,3.0,100245.0,7.0,104124.0,M,3.0,11.0,102173.0,,,,,,,,
sebastian vettel,3.0,100985.0,2015,2,7.0,100652.0,4.0,100266.0,3.0,103648.0,M,2.0,2.0,109908.0,,,,,,,,
romain grosjean,4.0,101543.0,2015,2,18.0,102948.0,11.0,101206.0,10.0,104812.0,M,3.0,10.0,112980.0,,,,,,,,
carlos sainz,5.0,101596.0,2015,2,14.0,102291.0,8.0,100601.0,15.0,105507.0,M,2.0,15.0,103700.0,,,,,,,,
daniel ricciardo,6.0,101787.0,2015,2,10.0,101799.0,7.0,100590.0,13.0,105312.0,M,3.0,4.0,111541.0,,,,,,,,
max verstappen,7.0,101803.0,2015,2,8.0,101220.0,9.0,100989.0,9.0,104579.0,M,3.0,6.0,111980.0,,,,,,,,
valtteri bottas,8.0,101882.0,2015,2,5.0,100450.0,6.0,100406.0,6.0,104088.0,M,3.0,8.0,113179.0,,,,,,,,
daniil kvyat,9.0,102055.0,2015,2,4.0,100346.0,13.0,101775.0,8.0,104514.0,M,3.0,5.0,111950.0,,,,,,,,
marcus ericsson,10.0,102064.0,2015,2,9.0,101261.0,10.0,101200.0,18.0,108760.0,M,,9.0,113260.0,,,,,,,,
felipe massa,11.0,102103.0,2015,2,6.0,100560.0,5.0,100391.0,5.0,103990.0,M,3.0,7.0,112473.0,,,,,,,,
pastor maldonado,12.0,102567.0,2015,2,11.0,101877.0,12.0,101592.0,12.0,105070.0,M,3.0,12.0,102197.0,,,,,,,,
raffaele marciello,13.0,102621.0,2015,2,,,,,,,nan,,,,,,,,,,,
fernando alonso,14.0,102885.0,2015,2,16.0,102506.0,15.0,101991.0,17.0,108460.0,H,1.0,18.0,101745.0,,,,,,,,
nico hulkenberg,15.0,102893.0,2015,2,15.0,102330.0,14.0,101804.0,11.0,104822.0,M,3.0,13.0,103022.0,,,,,,,,
sergio perez,16.0,103054.0,2015,2,13.0,102242.0,16.0,102099.0,14.0,105345.0,M,2.0,14.0,103468.0,,,,,,,,
jenson button,17.0,103100.0,2015,2,17.0,102637.0,18.0,102319.0,16.0,106056.0,H,3.0,17.0,101635.0,,,,,,,,
will stevens,18.0,106686.0,2015,2,19.0,105704.0,20.0,107059.0,,,nan,,,,,,,,,,,
roberto merhi,19.0,107683.0,2015,2,20.0,107229.0,19.0,106647.0,19.0,109040.0,M,3.0,19.0,106677.0,,,,,,,,
lewis hamilton,20.0,,2015,2,1.0,99790.0,2.0,99873.0,2.0,103125.0,M,3.0,1.0,109834.0,,,,,,,,
felipe nasr,,,2015,2,12.0,101988.0,17.0,102117.0,4.0,103902.0,M,4.0,16.0,101308.0,,,,,,,,
lewis hamilton,1.0,99033.0,2015,3,1.0,97219.0,1.0,97615.0,1.0,102208.0,S,2.0,1.0,95782.0,,,,,,,,
nico rosberg,2.0,99574.0,2015,3,5.0,98399.0,2.0,97841.0,2.0,102565.0,S,2.0,2.0,95824.0,,,,,,,,
sebastian vettel,3.0,100157.0,2015,3,4.0,98339.0,3.0,98313.0,5.0,103018.0,S,2.0,3.0,96687.0,,,,,,,,
kimi raikkonen,4.0,100661.0,2015,3,2.0,97662.0,4.0,98512.0,6.0,103026.0,S,2.0,6.0,97232.0,,,,,,,,
felipe nasr,5.0,101012.0,2015,3,8.0,99032.0,14.0,99591.0,12.0,103692.0,S,2.0,9.0,98067.0,,,,,,,,
daniel ricciardo,6.0,101029.0,2015,3,3.0,98311.0,5.0,99020.0,9.0,103245.0,S,2.0,7.0,97540.0,,,,,,,,
daniil kvyat,7.0,101097.0,2015,3,6.0,98737.0,6.0,99106.0,20.0,106291.0,M,,12.0,98209.0,,,,,,,,
carlos sainz,8.0,101112.0,2015,3,15.0,99971.0,7.0,99113.0,3.0,102652.0,M,2.0,14.0,98538.0,,,,,,,,
valtteri bottas,9.0,101303.0,2015,3,7.0,98850.0,8.0,99243.0,7.0,103051.0,S,2.0,5.0,97143.0,,,,,,,,
felipe massa,10.0,101304.0,2015,3,17.0,100423.0,11.0,99410.0,4.0,102734.0,S,2.0,4.0,96954.0,,,,,,,,
pastor maldonado,11.0,101335.0,2015,3,11.0,99444.0,16.0,99766.0,11.0,103686.0,S,3.0,11.0,98134.0,,,,,,,,
max verstappen,12.0,101575.0,2015,3,14.0,99894.0,9.0,99274.0,14.0,103880.0,S,2.0,13.0,98393.0,,,,,,,,
jenson button,13.0,101845.0,2015,3,10.0,99275.0,15.0,99694.0,16.0,104991.0,S,2.0,17.0,99276.0,,,,,,,,
marcus ericsson,14.0,101918.0,2015,3,13.0,99751.0,13.0,99559.0,15.0,104204.0,S,2.0,10.0,98158.0,,,,,,,,
jolyon palmer,15.0,101967.0,2015,3,,,,,,,nan,,,,,,,,,,,
sergio perez,16.0,102141.0,2015,3,18.0,100868.0,17.0,99781.0,10.0,103512.0,S,3.0,15.0,99290.0,,,,,,,,
fernando alonso,17.0,102161.0,2015,3,12.0,99743.0,20.0,,13.0,103728.0,S,2.0,18.0,99280.0,,,,,,,,
nico hulkenberg,18.0,102184.0,2015,3,16.0,100151.0,12.0,99513.0,18.0,105844.0,S,,16.0,99216.0,,,,,,,,
will stevens,19.0,105379.0,2015,3,20.0,104564.0,18.0,102928.0,17.0,105414.0,S,2.0,19.0,102091.0,,,,,,,,
roberto merhi,20.0,106443.0,2015,3,19.0,102973.0,19.0,104956.0,19.0,105963.0,S,2.0,20.0,102842.0,,,,,,,,
romain grosjean,,,2015,3,9.0,99142.0,10.0,99405.0,8.0,103134.0,S,2.0,8.0,97905.0,,,,,,,,
kimi raikkonen,1.0,97827.0,2015,4,3.0,95174.0,4.0,95141.0,1.0,96311.0,S,2.0,4.0,93227.0,,,,,,,,
sebastian vettel,2.0,98029.0,2015,4,4.0,95277.0,2.0,94668.0,2.0,96624.0,S,3.0,2.0,92982.0,,,,,,,,
valtteri bottas,3.0,98390.0,2015,4,5.0,95280.0,5.0,95393.0,6.0,98095.0,S,2.0,5.0,93381.0,,,,,,,,
carlos sainz,4.0,98447.0,2015,4,14.0,96471.0,17.0,96979.0,17.0,100651.0,S,2.0,9.0,94462.0,,,,,,,,
daniel ricciardo,5.0,98455.0,2015,4,6.0,95449.0,8.0,96335.0,12.0,98948.0,S,2.0,7.0,93832.0,,,,,,,,
max verstappen,6.0,98504.0,2015,4,16.0,96917.0,14.0,96684.0,16.0,99607.0,S,2.0,15.0,95103.0,,,,,,,,
fernando alonso,7.0,98598.0,2015,4,12.0,96191.0,16.0,96899.0,13.0,98992.0,S,2.0,14.0,95039.0,,,,,,,,
felipe nasr,8.0,98628.0,2015,4,8.0,95793.0,10.0,96429.0,7.0,98216.0,S,3.0,12.0,94737.0,,,,,,,,
daniil kvyat,9.0,98661.0,2015,4,9.0,95883.0,12.0,96548.0,11.0,98725.0,S,2.0,17.0,95800.0,,,,,,,,
felipe massa,10.0,98790.0,2015,4,10.0,95884.0,6.0,95471.0,14.0,99094.0,S,2.0,6.0,93744.0,,,,,,,,
sergio perez,11.0,98793.0,2015,4,17.0,97062.0,15.0,96727.0,8.0,98338.0,S,2.0,11.0,94704.0,,,,,,,,
pastor maldonado,12.0,98842.0,2015,4,7.0,95474.0,7.0,96307.0,4.0,97665.0,M,3.0,16.0,95677.0,,,,,,,,
nico hulkenberg,13.0,99187.0,2015,4,15.0,96805.0,9.0,96421.0,10.0,98653.0,S,3.0,8.0,94450.0,,,,,,,,
jolyon palmer,14.0,99283.0,2015,4,,,,,,,nan,,,,,,,,,,,
nico rosberg,15.0,99293.0,2015,4,1.0,94647.0,3.0,94968.0,3.0,97326.0,S,2.0,3.0,93129.0,,,,,,,,
lewis hamilton,16.0,99532.0,2015,4,2.0,94762.0,1.0,94599.0,5.0,97857.0,S,2.0,1.0,92571.0,,,,,,,,
marcus ericsson,17.0,99534.0,2015,4,11.0,96148.0,13.0,96612.0,9.0,98422.0,S,3.0,13.0,95034.0,,,,,,,,
will stevens,18.0,102973.0,2015,4,18.0,99131.0,19.0,99745.0,18.0,101759.0,S,2.0,18.0,98713.0,,,,,,,,
roberto merhi,19.0,104265.0,2015,4,20.0,100592.0,20.0,100541.0,19.0,102033.0,S,2.0,19.0,99722.0,,,,,,,,
jenson button,20.0,,2015,4,19.0,99209.0,11.0,96488.0,,,nan,,,,,,,,,,,
romain grosjean,,,2015,4,13.0,96334.0,18.0,97151.0,15.0,99161.0,S,2.0,10.0,94484.0,,,,,,,,
nico rosberg,1.0,86828.0,2015,5,3.0,87616.0,1.0,86021.0,2.0,89109.0,M,2.0,1.0,84681.0,,,,,,,,
lewis hamilton,2.0,86898.0,2015,5,1.0,86852.0,3.0,86222.0,1.0,88270.0,M,3.0,2.0,84948.0,,,,,,,,
sebastian vettel,3.0,87806.0,2015,5,2.0,87260.0,2.0,86177.0,6.0,90737.0,M,2.0,3.0,85458.0,,,,,,,,
kimi raikkonen,4.0,87832.0,2015,5,4.0,87780.0,5.0,86944.0,3.0,89931.0,M,2.0,7.0,86414.0,,,,,,,,
carlos sainz,5.0,88132.0,2015,5,9.0,88674.0,10.0,87809.0,9.0,91156.0,M,2.0,5.0,86136.0,,,,,,,,
max verstappen,6.0,88529.0,2015,5,6.0,88017.0,8.0,87132.0,12.0,91896.0,M,2.0,6.0,86249.0,,,,,,,,
daniil kvyat,7.0,88785.0,2015,5,5.0,87943.0,9.0,87313.0,11.0,91887.0,M,2.0,8.0,86629.0,,,,,,,,
felipe massa,8.0,88831.0,2015,5,10.0,88712.0,7.0,87109.0,4.0,90374.0,M,3.0,9.0,86757.0,,,,,,,,
daniel ricciardo,9.0,89075.0,2015,5,13.0,89098.0,6.0,87048.0,8.0,91124.0,M,2.0,10.0,86770.0,,,,,,,,
felipe nasr,10.0,89140.0,2015,5,15.0,89333.0,13.0,88096.0,13.0,91928.0,M,2.0,15.0,88005.0,,,,,,,,
nico hulkenberg,11.0,89409.0,2015,5,17.0,89601.0,12.0,88082.0,7.0,90888.0,M,3.0,17.0,88365.0,,,,,,,,
raffaele marciello,12.0,89630.0,2015,5,,,,,,,nan,,,,,,,,,,,
jolyon palmer,13.0,89676.0,2015,5,,,,,,,nan,,,,,,,,,,,
susie wolff,14.0,89708.0,2015,5,,,,,,,nan,,,,,,,,,,,
fernando alonso,15.0,89813.0,2015,5,11.0,88723.0,14.0,88304.0,18.0,93387.0,M,1.0,13.0,87760.0,,,,,,,,
jenson button,16.0,89817.0,2015,5,7.0,88494.0,11.0,87938.0,10.0,91162.0,M,3.0,14.0,87854.0,,,,,,,,
sergio perez,17.0,90096.0,2015,5,18.0,89707.0,18.0,88996.0,14.0,91932.0,M,2.0,18.0,88442.0,,,,,,,,
pastor maldonado,18.0,90110.0,2015,5,14.0,89217.0,16.0,88618.0,17.0,92912.0,M,3.0,12.0,87450.0,,,,,,,,
will stevens,19.0,92471.0,2015,5,19.0,91929.0,19.0,91125.0,19.0,93655.0,M,3.0,19.0,91200.0,,,,,,,,
roberto merhi,20.0,92647.0,2015,5,20.0,92751.0,20.0,91749.0,20.0,94211.0,M,3.0,20.0,92038.0,,,,,,,,
valtteri bottas,,,2015,5,8.0,88525.0,4.0,86682.0,5.0,90711.0,M,2.0,4.0,85694.0,,,,,,,,
romain grosjean,,,2015,5,12.0,89086.0,15.0,88578.0,15.0,91945.0,M,2.0,11.0,87375.0,,,,,,,,
marcus ericsson,,,2015,5,16.0,89361.0,17.0,88788.0,16.0,92222.0,M,2.0,16.0,88112.0,,,,,,,,
lewis hamilton,1.0,78750.0,2015,6,1.0,77192.0,3.0,76705.0,3.0,78676.0,SS,2.0,1.0,75098.0,,,,,,,,
max verstappen,2.0,78899.0,2015,6,7.0,78782.0,9.0,77788.0,5.0,78873.0,SS,2.0,9.0,76957.0,,,,,,,,
daniel ricciardo,3.0,79086.0,2015,6,16.0,79639.0,4.0,77120.0,1.0,78063.0,SS,2.0,4.0,76041.0,,,,,,,,
sebastian vettel,4.0,79134.0,2015,6,3.0,78295.0,1.0,76143.0,4.0,78854.0,SS,1.0,3.0,75849.0,,,,,,,,
carlos sainz,5.0,79245.0,2015,6,6.0,78659.0,5.0,77256.0,13.0,79816.0,SS,2.0,20.0,76931.0,,,,,,,,
pastor maldonado,6.0,79454.0,2015,6,14.0,79577.0,12.0,77956.0,19.0,82271.0,SS,,8.0,76946.0,,,,,,,,
daniil kvyat,7.0,79520.0,2015,6,5.0,78548.0,7.0,77471.0,7.0,79130.0,SS,1.0,5.0,76182.0,,,,,,,,
kimi raikkonen,8.0,79679.0,2015,6,4.0,78543.0,6.0,77401.0,10.0,79651.0,SS,1.0,6.0,76427.0,,,,,,,,
nico rosberg,9.0,79762.0,2015,6,2.0,77932.0,2.0,76361.0,2.0,78599.0,SS,1.0,2.0,75440.0,,,,,,,,
felipe massa,10.0,79766.0,2015,6,12.0,79560.0,16.0,78242.0,12.0,79764.0,SS,3.0,12.0,77278.0,,,,,,,,
fernando alonso,11.0,79791.0,2015,6,8.0,78906.0,14.0,78197.0,16.0,80459.0,S,1.0,13.0,86632.0,,,,,,,,
jenson button,12.0,80202.0,2015,6,15.0,79606.0,8.0,77767.0,9.0,79490.0,SS,2.0,10.0,77093.0,,,,,,,,
romain grosjean,13.0,80274.0,2015,6,10.0,79266.0,10.0,77806.0,17.0,80483.0,SS,1.0,15.0,77007.0,,,,,,,,
sergio perez,14.0,80619.0,2015,6,11.0,79300.0,11.0,77832.0,11.0,79657.0,SS,2.0,7.0,76808.0,,,,,,,,
nico hulkenberg,15.0,80784.0,2015,6,9.0,79151.0,13.0,78102.0,14.0,79921.0,S,2.0,11.0,77193.0,,,,,,,,
felipe nasr,16.0,80857.0,2015,6,17.0,80263.0,17.0,78767.0,15.0,80017.0,SS,2.0,14.0,78101.0,,,,,,,,
valtteri bottas,17.0,80917.0,2015,6,13.0,79566.0,15.0,78212.0,6.0,78944.0,S,2.0,16.0,78434.0,,,,,,,,
marcus ericsson,18.0,81219.0,2015,6,,,18.0,79269.0,8.0,79285.0,SS,3.0,17.0,78513.0,,,,,,,,
will stevens,19.0,83234.0,2015,6,19.0,82943.0,19.0,81093.0,20.0,82693.0,S,1.0,18.0,80655.0,,,,,,,,
roberto merhi,20.0,83404.0,2015,6,18.0,82017.0,20.0,82225.0,18.0,81715.0,S,1.0,19.0,80904.0,,,,,,,,
lewis hamilton,1.0,76212.0,2015,7,1.0,75988.0,20.0,81492.0,3.0,77472.0,SS,1.0,1.0,74393.0,,,,,,,,
nico rosberg,2.0,76627.0,2015,7,4.0,76440.0,1.0,75660.0,5.0,77637.0,SS,1.0,2.0,74702.0,,,,,,,,
romain grosjean,3.0,77721.0,2015,7,7.0,76864.0,3.0,76772.0,7.0,77969.0,SS,1.0,5.0,75194.0,,,,,,,,
nico hulkenberg,4.0,77871.0,2015,7,11.0,77120.0,12.0,77876.0,9.0,78238.0,SS,1.0,7.0,75614.0,,,,,,,,
sebastian vettel,5.0,77905.0,2015,7,2.0,76304.0,8.0,77197.0,2.0,77105.0,SS,2.0,18.0,77344.0,,,,,,,,
felipe massa,6.0,77985.0,2015,7,8.0,77041.0,7.0,77122.0,4.0,77553.0,S,1.0,15.0,77886.0,,,,,,,,
daniil kvyat,7.0,78021.0,2015,7,9.0,77092.0,6.0,77021.0,8.0,78048.0,SS,1.0,8.0,76079.0,,,,,,,,
pastor maldonado,8.0,78026.0,2015,7,5.0,76600.0,10.0,77573.0,10.0,78385.0,SS,1.0,6.0,75329.0,,,,,,,,
fernando alonso,9.0,78128.0,2015,7,15.0,77627.0,18.0,79874.0,18.0,79580.0,SS,1.0,13.0,76276.0,,,,,,,,
max verstappen,10.0,78257.0,2015,7,16.0,77657.0,16.0,78492.0,11.0,78616.0,S,1.0,19.0,76245.0,,,,,,,,
valtteri bottas,11.0,78325.0,2015,7,6.0,76849.0,4.0,76914.0,6.0,77922.0,SS,1.0,4.0,75102.0,,,,,,,,
kimi raikkonen,12.0,78439.0,2015,7,3.0,76310.0,2.0,76233.0,1.0,76987.0,SS,2.0,3.0,75014.0,,,,,,,,
sergio perez,13.0,78503.0,2015,7,14.0,77367.0,5.0,76993.0,14.0,78889.0,SS,1.0,10.0,76338.0,,,,,,,,
daniel ricciardo,14.0,78775.0,2015,7,10.0,77111.0,13.0,77892.0,16.0,79060.0,SS,1.0,9.0,76114.0,,,,,,,,
jenson button,15.0,78786.0,2015,7,18.0,78135.0,15.0,78473.0,13.0,78856.0,S,2.0,20.0,,,,,,,,,
felipe nasr,16.0,78948.0,2015,7,17.0,77751.0,14.0,78446.0,17.0,79088.0,SS,1.0,14.0,76620.0,,,,,,,,
carlos sainz,17.0,79065.0,2015,7,13.0,77318.0,9.0,77396.0,12.0,78811.0,SS,1.0,11.0,76042.0,,,,,,,,
marcus ericsson,18.0,79165.0,2015,7,12.0,77261.0,11.0,77578.0,15.0,78890.0,SS,1.0,12.0,76262.0,,,,,,,,
roberto merhi,19.0,80616.0,2015,7,19.0,79531.0,19.0,80231.0,20.0,80804.0,S,1.0,16.0,79133.0,,,,,,,,
will stevens,20.0,80624.0,2015,7,20.0,79734.0,17.0,79822.0,19.0,80707.0,S,1.0,17.0,79157.0,,,,,,,,
nico rosberg,1.0,70401.0,2015,8,2.0,69611.0,5.0,70332.0,1.0,71235.0,SS,1.0,2.0,68655.0,,,,,,,,
lewis hamilton,2.0,70709.0,2015,8,5.0,70137.0,2.0,70011.0,2.0,71475.0,SS,1.0,1.0,68455.0,,,,,,,,
kimi raikkonen,3.0,71028.0,2015,8,3.0,69860.0,3.0,70177.0,,,S,,14.0,72867.0,,,,,,,,
valtteri bottas,4.0,71452.0,2015,8,14.0,70746.0,7.0,70417.0,7.0,72248.0,SS,1.0,6.0,69319.0,,,,,,,,
felipe nasr,5.0,71633.0,2015,8,9.0,70495.0,17.0,71906.0,14.0,73050.0,SS,1.0,8.0,69713.0,,,,,,,,
daniil kvyat,6.0,71642.0,2015,8,12.0,70686.0,14.0,71139.0,8.0,72316.0,SS,2.0,15.0,69694.0,,,,,,,,
daniel ricciardo,7.0,71724.0,2015,8,17.0,71676.0,16.0,71819.0,5.0,71689.0,S,1.0,18.0,70482.0,,,,,,,,
max verstappen,8.0,71825.0,2015,8,8.0,70356.0,8.0,70436.0,9.0,72349.0,SS,1.0,7.0,69612.0,,,,,,,,
felipe massa,9.0,71890.0,2015,8,15.0,71011.0,6.0,70408.0,4.0,71613.0,SS,1.0,4.0,69192.0,,,,,,,,
sergio perez,10.0,71905.0,2015,8,10.0,70585.0,4.0,70221.0,10.0,72377.0,S,1.0,13.0,72522.0,,,,,,,,
carlos sainz,11.0,71948.0,2015,8,11.0,70631.0,13.0,71139.0,15.0,73234.0,SS,1.0,12.0,70465.0,,,,,,,,
pastor maldonado,12.0,72004.0,2015,8,4.0,69914.0,9.0,70576.0,6.0,71785.0,S,1.0,10.0,70374.0,,,,,,,,
nico hulkenberg,13.0,72031.0,2015,8,6.0,70160.0,11.0,71009.0,12.0,72541.0,SS,1.0,5.0,69278.0,,,,,,,,
jolyon palmer,14.0,72050.0,2015,8,,,,,,,nan,,,,,,,,,,,
marcus ericsson,15.0,72159.0,2015,8,13.0,70744.0,12.0,71058.0,11.0,72516.0,SS,3.0,11.0,70426.0,,,,,,,,
jenson button,16.0,72920.0,2015,8,18.0,71919.0,18.0,72616.0,17.0,112208.0,SS,2.0,20.0,72632.0,,,,,,,,
fernando alonso,17.0,73272.0,2015,8,16.0,71517.0,15.0,71168.0,,,SS,,19.0,70736.0,,,,,,,,
will stevens,18.0,73937.0,2015,8,19.0,72522.0,19.0,73328.0,,,SS,,17.0,75368.0,,,,,,,,
roberto merhi,19.0,75459.0,2015,8,20.0,73094.0,20.0,73960.0,16.0,74939.0,SS,1.0,16.0,74071.0,,,,,,,,
sebastian vettel,20.0,75684.0,2015,8,1.0,69600.0,1.0,69994.0,3.0,71499.0,SS,1.0,3.0,68810.0,,,,,,,,
romain grosjean,,,2015,8,7.0,70267.0,10.0,70863.0,13.0,72881.0,SS,1.0,9.0,,,,,,,,,
nico rosberg,1.0,94274.0,2015,9,1.0,94155.0,2.0,93469.0,2.0,97403.0,M,2.0,2.0,92361.0,,,,,,,,
lewis hamilton,2.0,94344.0,2015,9,4.0,94621.0,1.0,92917.0,1.0,97093.0,M,2.0,1.0,92248.0,,,,,,,,
max verstappen,3.0,95530.0,2015,9,7.0,95300.0,5.0,94147.0,16.0,140776.0,H,,13.0,94502.0,,,,,,,,
kimi raikkonen,4.0,95588.0,2015,9,2.0,94502.0,3.0,93692.0,4.0,97493.0,M,3.0,5.0,93379.0,,,,,,,,
carlos sainz,5.0,95669.0,2015,9,9.0,95866.0,6.0,94282.0,11.0,98697.0,M,1.0,8.0,93649.0,,,,,,,,
sebastian vettel,6.0,95739.0,2015,9,3.0,94522.0,4.0,93918.0,6.0,97707.0,M,2.0,6.0,93547.0,,,,,,,,
daniel ricciardo,7.0,95818.0,2015,9,6.0,95153.0,12.0,94896.0,13.0,99940.0,M,2.0,10.0,93943.0,,,,,,,,
daniil kvyat,8.0,95876.0,2015,9,5.0,95009.0,9.0,94545.0,7.0,97910.0,M,2.0,7.0,93636.0,,,,,,,,
nico hulkenberg,9.0,96157.0,2015,9,8.0,95387.0,11.0,94886.0,9.0,98296.0,M,2.0,9.0,93673.0,,,,,,,,
felipe massa,10.0,96469.0,2015,9,10.0,96147.0,7.0,94501.0,3.0,97466.0,M,2.0,3.0,93085.0,,,,,,,,
felipe nasr,11.0,96855.0,2015,9,16.0,96822.0,15.0,95587.0,,,nan,,16.0,94888.0,,,,,,,,
sergio perez,12.0,96889.0,2015,9,13.0,96351.0,13.0,95121.0,10.0,98466.0,M,2.0,11.0,94268.0,,,,,,,,
susie wolff,13.0,97242.0,2015,9,,,,,,,nan,,,,,,,,,,,
jolyon palmer,14.0,97262.0,2015,9,,,,,,,nan,,,,,,,,,,,
raffaele marciello,15.0,97372.0,2015,9,,,,,,,nan,,,,,,,,,,,
pastor maldonado,16.0,98080.0,2015,9,11.0,96164.0,10.0,94708.0,,,M,,14.0,94511.0,,,,,,,,
fernando alonso,17.0,98222.0,2015,9,15.0,96731.0,18.0,96101.0,12.0,98883.0,M,3.0,17.0,94959.0,,,,,,,,
jenson button,18.0,98860.0,2015,9,17.0,97196.0,16.0,95695.0,,,M,,18.0,95207.0,,,,,,,,
will stevens,19.0,98981.0,2015,9,19.0,98279.0,19.0,97989.0,14.0,101919.0,M,2.0,19.0,97364.0,,,,,,,,
roberto merhi,20.0,100477.0,2015,9,20.0,99878.0,20.0,98285.0,15.0,102324.0,M,2.0,20.0,99377.0,,,,,,,,
valtteri bottas,,,2015,9,12.0,96183.0,8.0,94538.0,5.0,97513.0,M,2.0,4.0,93149.0,,,,,,,,
romain grosjean,,,2015,9,14.0,96728.0,14.0,95246.0,,,M,,12.0,94430.0,,,,,,,,
marcus ericsson,,,2015,9,18.0,97327.0,17.0,95919.0,8.0,98131.0,M,4.0,15.0,94868.0,,,,,,,,
lewis hamilton,1.0,85141.0,2015,10,1.0,83949.0,1.0,82997.0,3.0,85727.0,,4.0,1.0,82020.0,,,,,,,,
nico rosberg,2.0,85250.0,2015,10,4.0,84668.0,2.0,83095.0,2.0,85149.0,,4.0,2.0,82595.0,,,,,,,,
kimi raikkonen,3.0,85812.0,2015,10,5.0,85134.0,16.0,85661.0,7.0,86954.0,,4.0,5.0,83020.0,,,,,,,,
daniel ricciardo,4.0,86053.0,2015,10,3.0,84451.0,9.0,84929.0,1.0,84821.0,,4.0,4.0,82774.0,,,,,,,,
daniil kvyat,5.0,86070.0,2015,10,2.0,84300.0,4.0,84215.0,4.0,86519.0,,4.0,7.0,83332.0,,,,,,,,
sebastian vettel,6.0,86395.0,2015,10,7.0,85660.0,3.0,83886.0,5.0,86772.0,,4.0,3.0,82739.0,,,,,,,,
carlos sainz,7.0,86727.0,2015,10,6.0,85599.0,5.0,84326.0,18.0,88611.0,,4.0,12.0,83869.0,,,,,,,,
sergio perez,8.0,86776.0,2015,10,,,15.0,85393.0,16.0,88499.0,,4.0,13.0,84461.0,,,,,,,,
valtteri bottas,9.0,86825.0,2015,10,9.0,85881.0,14.0,85345.0,8.0,87058.0,,4.0,6.0,83222.0,,,,,,,,
max verstappen,10.0,86934.0,2015,10,11.0,85935.0,7.0,84678.0,11.0,87650.0,,4.0,9.0,83679.0,,,,,,,,
fernando alonso,11.0,87272.0,2015,10,8.0,85752.0,8.0,84846.0,10.0,87311.0,,4.0,15.0,,,,,,,,,
jenson button,12.0,87308.0,2015,10,12.0,85994.0,13.0,85229.0,17.0,88535.0,,4.0,16.0,84739.0,,,,,,,,
nico hulkenberg,13.0,87317.0,2015,10,,,6.0,84483.0,13.0,88074.0,,2.0,11.0,83826.0,,,,,,,,
